message,score,sentiment
"Sergio Ramos presuming that he weights with a jug, but he does not know what it is to distribute five Electropura de jalón",0.0,2
"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart.",0.6808,3
Work hard enough and someone will help you fulfill your dreams! Find more inspiring stories on our YouTube channel,0.883,3
"At the rhythm of the accordion, this is how Celso Piña conquered our senses and made us dance at all parties.",0.4019,3
"If you do not want to use a condom, after seeing this you will want to always take care of yourself.",0.4129,3
These tattoos celebrate Mexican culture in a very unique and beautiful way,0.8344,3
"With an estimated of $ 400 billion USD, Mansa Musa I of Mali is considered to be the wealthiest man in the history of humanity.",0.4939,3
Ecatepec artisans created vochos covered with semiprecious stones that show the union of the Maya and Teotihuacana cultures.,0.25,3
Guillermo del Toro proudly waved the # Mexico flag in the unveiling of his Hollywood Walk of Fame star. This was the moment of the filmmaker's life.,0.7579,3
A JEWEL! Did you want one more reason to love the #Avengers? This will definitely be the best you'll see today. #Endgame,0.945,3
Children of southern Tamaulipas win world calculation in China,0.5859,3
"Because ‘The Notebook’ brought us not only stormy love and chick flick, but also Ryan Gosling and Rachel McAdams in real life as a couple. This moment was epic.",-0.2924,1
"“It could have been my dad, imagine the man is walking, you can hurt his little feet, says Maricela Santiago, the employee of a store, who went viral in networks because she gave some shoes to an older adult. See the full interview # OrgulloOaxaqueño",-0.5267,1
8 tips from María Felix that women can still apply today,0.0,2
"Despite the racist comments she received at the beginning, Nancy RIsol has gained more than one million followers, in less than a year with only 11 videos and sheds light on a historically ignored community in Latin America",0.5454,3
New hopes for a great species of our planet,0.7845,3
Any biblical apocalypse would fall short of reality.,0.0,2
"Now she is a recognized model, but her appearance caused her problems in the past.",-0.5499,1
And in hot weather they tell us this?,0.0,2
"Best friendship can overcome anything, especially handicaps! Find more inspiring stories on YouTube",0.8881,3
"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart.",0.6808,3
"Little 13 year old is missing, support is requested to find him",0.128,3
Keanu Reeves is not your average Hollywood celebrity.,0.0,2
"#Security | DO WHAT YOU HAVE TO DO TO TAKE CARE OF YOURSELF ... (SECURITY RECOMMENDATIONS) Following the events of the last weeks in the country, and last weekend at #SLP, security recommendations have been viralized so that Women can stay safe when they travel alone on the street. Here we share these tips that can be useful in risk situations. More news:",0.8816,3
"ATTENTION, STRONG IMAGES Show the Rearview Newsletter the exact moment of the explosion of the clandestine takeover in Hidalgo",0.6166,3
#On the front page,0.0,2
"The young Yukaima González became the first woman of indigenous origin to win a beauty contest in Mexico, when she was crowned at the 2019 Nayarit Fair. #LasNoticiasConKarlaIberia con karlaiberia",0.872,3
These are the eight diseases that you can develop by drinking cola,0.0,2
Thank you for everything you did Frida!,0.4199,3
Only John Wick could be like that in real life ...,0.3612,3
"The 9-year-old girl could be a victim of a crime, her family searches her tirelessly to find her well",-0.5423,1
"Arath Salvador González Lara, 4 years old, was last seen in the company of his father in Garden Avenue, Gas Expansion Colony, Azcapotzalc City Hall.",0.0,2
This is what money is for! Billionaire gives home to a child who studied under a lamp in Peru.,0.0,2
"Actress Edith González dies at the age of 54, a victim of cancer.",-0.7579,1
Yalitza Aparicio upon arrival at the Carpet Network #SpiritIndependentAwards www.wradio.com.mx,0.0,2
"She is #NancyRisol, the Ecuadorian youtuber who has gone viral on social networks because of her naturalness, simplicity and the enormous fun she projects through her videos.",0.5106,3
"Moms do not close the world. She is Astrid, a Yucatecan who created several handmade clothes for nursing mothers # DíaDeLasMadres",0.25,3
"Testimony of another family member looking for a missing person after the explosion in Tlahuelilpan, Hidalgo",-0.296,1
"At his farewell, Celso Piña returns to the neighborhood that saw him grow; The procession travels through the populous Independence and Cerro de la Campana colonies, where thousands cheered and said goodbye.",0.5106,3
Sharing takes a moment.,0.4215,3
# LoMásVisto Other reasons why Spain should apologize to Mexico! ... And maybe we with them.,0.1759,3
What good news,0.4404,3
It's amazing everything that the maternal instinct can do,0.5859,3
"In a world of Kardashians, be a Keauu Reeves ...",0.0,2
"That lowered the beer! Thanks to the #Cervezazo in Grupo Modelo, the best brands such as Corona, Victoria, Modelo, and Bud light, lowered their prices for this holiday, cheering millions of Mexicans.",0.9156,3
What happened in the demonstration of women in Mexico City? Here we bring you all the details:,0.1027,3
"Hey, did you study for the exam? Well...",0.0,2
Not even Goku expected it.,0.0,2
You do not need to spend a fortune to know the Greek Islands,0.0,2
Stranger Things is a child's thing compared to Dark.,0.0,2
"The Army discovered in Salamanca, Guanajuato, a clandestine installation of gasoline tanks to a tank outside the refinery with a three-kilometer hose",0.0,2
"Telemundo has documented how the Jalisco Nueva Generación Cartel has a training school in which they teach how to stand out, kill mercilessly until eating human flesh Here the story in #AzucenaxMILENIO",-0.6908,1
February 11 is the International Day of Women and Girls in Science.,0.0,2
"#GoodNews | Through social networks, members of our community have asked us to recognize Alfredo Terán, driver of the public transport unit of Route 21 with economic number 7017, for its great detail towards the little ones who use their unit in this 30 of April child's day. The driver has pulled smiles at both the old and the heart children, and the potosinos thank him. Images: Addriiana Castillo",0.875,3
"Meet Mansa Musa, the wealthiest man in the history of humanity.",0.4939,3
This university is mourning the kidnapping of a student 2 days before graduating:,-0.4404,1
Do you want them to be your brothers-in-law?,0.0772,3
# DíaInternacionalDeLaMujer Yalitza Aparicio continues to shine; now it is heard from the United Nations Organization (UN),0.4215,3
8 tips from María Felix that women can still apply today,0.0,2
"She is the real # MamáCoco, the woman who inspired the film to create the iconic animated character. This # Mother's Day we remember her with love",0.8591,3
Technology continues to surprise us,0.2732,3
"It is so natural, powerful and pure, it never fades.",0.7445,3
There is new hope that this special issue will survive,0.6808,3
The disappearances of minors in the capital are becoming the daily bread. Help these girls return home by sharing this information.,0.6705,3
What will Donald Trump say when he finds out that Mexicans are stealing his barbed wire?,-0.5719,1
Good news!,0.4926,3
Mishis only meow to communicate with their humans.,0.0,2
They are incredible and very intelligent creatures.,0.5095,3
"Aarón Rodríguez Arellano Mil Mascaras, one of the great exponents and legends of Mexican wrestling, turns 77 today",0.6249,3
But they care more about a wall,0.6486,3
"She is Elisa Carrillo, the Mexican who conquered Russia",0.0,2
Arya used to be a carefree little girl and her evolution led her to become one of the deadliest characters in all of Westeros. #CCGoT,0.4019,3
[Special reports] “A kind of salvation” They resort to ethanol in the absence of gasoline,0.0,2
He had not been seen since 1983 but hope to save him has revived,0.8462,3
The couple was buying school supplies for their oldest daughter,0.0,2
"If someone has been cruel to you or has been treated unfairly, remember this scene from Persepolis",-0.5859,1
"You will never forget the face of Katie Bouman, the woman who designed the algorithm to take the first photo of a black hole. More videos:",0.1695,3
With his unique musical style Celso Piña appropriated Colombian music. Here a little more of its history in Profiles and Stories.,0.0,2
"If someone has been cruel to you or has been treated unfairly, remember this scene from Persepolis",-0.5859,1
"In the future, apps, laser technology and nanoparticles will be enough to correct vision problems",-0.1779,1
