,0
0,"Sergio Ramos presuming that he weights with a jug, but he does not know what it is to distribute five Electropura de jalón"
1,"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart."
2,Work hard enough and someone will help you fulfill your dreams! Find more inspiring stories on our YouTube channel
3,"At the rhythm of the accordion, this is how Celso Piña conquered our senses and made us dance at all parties."
4,"If you do not want to use a condom, after seeing this you will want to always take care of yourself."
5,These tattoos celebrate Mexican culture in a very unique and beautiful way
6,"With an estimated of $ 400 billion USD, Mansa Musa I of Mali is considered to be the wealthiest man in the history of humanity."
7,Ecatepec artisans created vochos covered with semiprecious stones that show the union of the Maya and Teotihuacana cultures.
8,Guillermo del Toro proudly waved the # Mexico flag in the unveiling of his Hollywood Walk of Fame star. This was the moment of the filmmaker's life.
9,A JEWEL! Did you want one more reason to love the #Avengers? This will definitely be the best you'll see today. #Endgame
10,Children of southern Tamaulipas win world calculation in China
11,"Because ‘The Notebook’ brought us not only stormy love and chick flick, but also Ryan Gosling and Rachel McAdams in real life as a couple. This moment was epic."
12,"“It could have been my dad, imagine the man is walking, you can hurt his little feet, says Maricela Santiago, the employee of a store, who went viral in networks because she gave some shoes to an older adult. See the full interview # OrgulloOaxaqueño"
13,8 tips from María Felix that women can still apply today
14,"Despite the racist comments she received at the beginning, Nancy RIsol has gained more than one million followers, in less than a year with only 11 videos and sheds light on a historically ignored community in Latin America"
15,New hopes for a great species of our planet
16,Any biblical apocalypse would fall short of reality.
17,"Now she is a recognized model, but her appearance caused her problems in the past."
18,And in hot weather they tell us this?
19,"Best friendship can overcome anything, especially handicaps! Find more inspiring stories on YouTube"
20,"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart."
21,"Little 13 year old is missing, support is requested to find him"
22,Keanu Reeves is not your average Hollywood celebrity.
23,"#Security | DO WHAT YOU HAVE TO DO TO TAKE CARE OF YOURSELF ... (SECURITY RECOMMENDATIONS) Following the events of the last weeks in the country, and last weekend at #SLP, security recommendations have been viralized so that Women can stay safe when they travel alone on the street. Here we share these tips that can be useful in risk situations. More news:"
24,"ATTENTION, STRONG IMAGES Show the Rearview Newsletter the exact moment of the explosion of the clandestine takeover in Hidalgo"
25,#On the front page
26,"The young Yukaima González became the first woman of indigenous origin to win a beauty contest in Mexico, when she was crowned at the 2019 Nayarit Fair. #LasNoticiasConKarlaIberia con karlaiberia"
27,These are the eight diseases that you can develop by drinking cola
28,Thank you for everything you did Frida!
29,Only John Wick could be like that in real life ...
30,"The 9-year-old girl could be a victim of a crime, her family searches her tirelessly to find her well"
31,"Arath Salvador González Lara, 4 years old, was last seen in the company of his father in Garden Avenue, Gas Expansion Colony, Azcapotzalc City Hall."
32,This is what money is for! Billionaire gives home to a child who studied under a lamp in Peru.
33,"Actress Edith González dies at the age of 54, a victim of cancer."
34,Yalitza Aparicio upon arrival at the Carpet Network #SpiritIndependentAwards www.wradio.com.mx
35,"She is #NancyRisol, the Ecuadorian youtuber who has gone viral on social networks because of her naturalness, simplicity and the enormous fun she projects through her videos."
36,"Moms do not close the world. She is Astrid, a Yucatecan who created several handmade clothes for nursing mothers # DíaDeLasMadres"
37,"Testimony of another family member looking for a missing person after the explosion in Tlahuelilpan, Hidalgo"
38,"At his farewell, Celso Piña returns to the neighborhood that saw him grow; The procession travels through the populous Independence and Cerro de la Campana colonies, where thousands cheered and said goodbye."
39,Sharing takes a moment.
40,# LoMásVisto Other reasons why Spain should apologize to Mexico! ... And maybe we with them.
41,What good news
42,It's amazing everything that the maternal instinct can do
43,"In a world of Kardashians, be a Keauu Reeves ..."
44,"That lowered the beer! Thanks to the #Cervezazo in Grupo Modelo, the best brands such as Corona, Victoria, Modelo, and Bud light, lowered their prices for this holiday, cheering millions of Mexicans."
45,What happened in the demonstration of women in Mexico City? Here we bring you all the details:
46,"Hey, did you study for the exam? Well..."
47,Not even Goku expected it.
48,You do not need to spend a fortune to know the Greek Islands
49,Stranger Things is a child's thing compared to Dark.
50,"The Army discovered in Salamanca, Guanajuato, a clandestine installation of gasoline tanks to a tank outside the refinery with a three-kilometer hose"
51,"Telemundo has documented how the Jalisco Nueva Generación Cartel has a training school in which they teach how to stand out, kill mercilessly until eating human flesh Here the story in #AzucenaxMILENIO"
52,February 11 is the International Day of Women and Girls in Science.
53,"#GoodNews | Through social networks, members of our community have asked us to recognize Alfredo Terán, driver of the public transport unit of Route 21 with economic number 7017, for its great detail towards the little ones who use their unit in this 30 of April child's day. The driver has pulled smiles at both the old and the heart children, and the potosinos thank him. Images: Addriiana Castillo"
54,"Meet Mansa Musa, the wealthiest man in the history of humanity."
55,This university is mourning the kidnapping of a student 2 days before graduating:
56,Do you want them to be your brothers-in-law?
57,# DíaInternacionalDeLaMujer Yalitza Aparicio continues to shine; now it is heard from the United Nations Organization (UN)
58,8 tips from María Felix that women can still apply today
59,"She is the real # MamáCoco, the woman who inspired the film to create the iconic animated character. This # Mother's Day we remember her with love"
60,Technology continues to surprise us
61,"It is so natural, powerful and pure, it never fades."
62,There is new hope that this special issue will survive
63,The disappearances of minors in the capital are becoming the daily bread. Help these girls return home by sharing this information.
64,What will Donald Trump say when he finds out that Mexicans are stealing his barbed wire?
65,Good news!
66,Mishis only meow to communicate with their humans.
67,They are incredible and very intelligent creatures.
68,"Aarón Rodríguez Arellano Mil Mascaras, one of the great exponents and legends of Mexican wrestling, turns 77 today"
69,But they care more about a wall
70,"She is Elisa Carrillo, the Mexican who conquered Russia"
71,Arya used to be a carefree little girl and her evolution led her to become one of the deadliest characters in all of Westeros. #CCGoT
72,[Special reports] “A kind of salvation” They resort to ethanol in the absence of gasoline
73,He had not been seen since 1983 but hope to save him has revived
74,The couple was buying school supplies for their oldest daughter
75,"If someone has been cruel to you or has been treated unfairly, remember this scene from Persepolis"
76,"You will never forget the face of Katie Bouman, the woman who designed the algorithm to take the first photo of a black hole. More videos:"
77,With his unique musical style Celso Piña appropriated Colombian music. Here a little more of its history in Profiles and Stories.
78,"If someone has been cruel to you or has been treated unfairly, remember this scene from Persepolis"
79,"In the future, apps, laser technology and nanoparticles will be enough to correct vision problems"
80,"So far, at least five people have died from the heat."
81,Mexico sweeps the 2019 Pan American Games in Lima with 136 medals; they achieve the third place of the medallero
82,We already missed the humor of our president!
83,Not even Goku expected it.
84,#ALERT
85,Dogs waiting to be adopted suffer discrimination
86,"In Japan, separating garbage goes beyond organic and inorganic."
87,"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart."
88,"#MilenioAlMomento | In no civilized country on Earth will you find a president like #AMLO. Unfortunately, only in Mexico can something like this happen. The opinion of Diego Fernández de Cevallos"
89,A work of Vanessa Job with #AzucenaxMILENIO
90,"Amaranth and nopal are foods of the future, Mexican students are already working on these projects."
91,The stone animals and the game of cubes were creations of artists such as Barragan and Goeritz.
92,"Only 20 Mexican families struggle to prevent the disappearance of Xiquilite, a pre-Hispanic plant threatened by climate change and synthetic colors. In Oaxaca, they take care of this “Blue Gold”."
93,This is the time when women destroyed a police station and metrobus in Mexico City:
94,The president said that people pay and pay and never give him their deeds
95,There is high hope that this species will survive
96,The ability and incredible talent of these women have highlighted them as the best on the drums.
97,When you sing the two parts of the song on Snapchat
98,"In Holbox, ""trucks arrive at night, when there are no people on the beach."" There, sand is one of the most coveted resources. Nobody remembers when the robbery began, but it does happen ..."
99,"At just 28 years old, Daniela SotoInnes is recognized as the best chef in the world, certainly a Mexican pride!"
100,"Luidwin, only 27 years old, wanted to cool off with very cold water without knowing that his action would have fatal consequences"
101,It is the first time that a gold medal is achieved in this apparatus in a Pan American Games.
102,"If you want to end the hell of your Infonavit credit, you must know the plan that AMLO has just presented."
103,"Applause for this young man! The photo of a student who took advantage of his vacation to teach free math classes in a #Veracruz park is viralized. For this reason, he was offered work in the public library and a scholarship to finish his degree at #UNAM."
104,"Stuart Hutchison and his dog Nero died the same day, 15 minutes apart"
105,"First the Paketaxo and now the Maruchan, what's next, what's next?"
106,#AzucenaxMILENIO
107,Shepherd tacos become the BEST dish in the world!
108,"We have no proof, but no doubt, Chris Hemsworth is a like a real Norse god."
109,"Jubilan #Frida, the dog who became famous for her rescue efforts in the earthquakes of September 7 and 19, 2017"
110,"# LoMásVisto One of lime for two of sand! Three public transport thieves are arrested on Central Avenue in #Ecatepec, State of Mexico."
111,"With third place in the medal table, athletes say"
112,"It was easy for this young woman to throw her friend into the water to take away her fear, but today she faces justice for the damage she caused"
113,Be jealous! The law could punish them:
114,My faith in humanity has been restored. Thank you Yaqoob! Find us on YouTube
115,"If you have information about them, notify the authorities and share so that more people can help you find them. #We are looking for you"
116,"they presume that it is the den of El Marro, the huachicolero leader of the Santa Rosa de Lima Cartel. In it, they found stables, a pool and even a party room. Information with #AzucenaxMILENIO"
117,Dante will live forever in their hearts; rest in peace
118,"Leonardo Yishar Ortega Riquelme, only 4 years old, was last seen at the intersection of Santiago Street and Calzada de la Viga in the Santiago Sur neighborhood of Iztacalaco City Hall"
119,"First gasoline, now Infonavit credits ..."
120,"Hot? Doña Lalita tells us how the flavored snows are made in Santiago Tulyehualco, Xochimilco"
121,"#National | The Mexican math team, held high on behalf of Mexico, crowning itself as the absolute winners in the XXI Central American and Caribbean Mathematical Olympiad. Guillermo del Toro"
122,"# LoMásVisto2018 After his tragic death in a direct armed attack in Jalisco, followers of Juan Luis Lagunas, known as the ‘Pirate of Culiacán’, mocked him."
123,Living without generating garbage is possible. Gabriela adopted the Zero Waste movement as a lifestyle and we accompanied her to know her day to day. #AlAireConPaola with Paola Rojas
124,"Girl recites poem against the huachicol and goes viral ... What I assure you, woke up the entire Mexico, the theft of hydrocarbons, huachicoleros will die, said the little girl."
125,#Health
126,She showed the whole world that life is a carnival and that the best way to live it is with joy and music! #OUR
127,"In 2017, the Awake with Loret team presented a special report that shows how the huachicoleros operated in the so-called Red Triangle, in Puebla."
128,Everything was like being a child again. But be careful!
129,#Video
130,Dafne Almazán Anaya at age 17 was admitted to Harvard University in the Master of Mathematics. For 100 years he had not entered a minor in the Master of Math for Teaching: he is the first Mexican with this condition.
131,"Alert in the US for extreme cold! Freezing temperatures of up to 37 ℃ could break records, even higher than those in Antarctica or Everest."
132,# Video The image of the young man who assaulted the reporter Juan Manuel Jiménez has been viralized in order to identify him and take responsibility for his actions
133,"#TrashtagChallenge, the new viral action that the environment would be grateful for"
134,"For all who say they like heat, there is its heat."
135,The youtuber who tried to eat a live octopus ... but everything went wrong
136,"In Coahuila, this practice, described as abusive, that had become normal could be punished in an exemplary manner"
137,"Don't do it, they also feel"
138,Reporter does not understand the language of the kids and is ridiculous. Who do you know who also needs a neighborhood?
139,"Go taking out your savings, because LP arrives in Mexico"
140,#Video A Harvard University research reveals the collective awareness of bees. Via: # DW_Español
141,This is what food expiration dates really mean.
142,IPN specialists applied treatment to 29 women in Mexico City who had HPV
143,"And the money contributed by people of good will, here?"
144,They are frozen but still alive!
145,He commented that the money to build roads must be given to the people and not to the contractors.
146,Absent Dad: It was easy for him not to pass the pension to his daughters for two years; now you must pay 176 thousand 70 pesos
147,Game of Thrones' wolf worms do exist!
148,"# HechoEnMéxico A group of young Mexicans worried about the planet had an idea that seemed impossible. How to produce something with the sargassum that arrives in the Caribbean? It took them time to learn how to take advantage of this macroalgae, but they managed to make shoes."
149,Jason Momoa shaved his beard after 7 years of not doing so
150,At least 24 states in the country were affected by a shortage of doctors and medications due to reduced internship support.
151,"Despite attempts to persuade, the woman throws herself on a bridge with her son in her arms."
152,This is how Alfredo Adame reacts after the aggression of Carlos Trejo! #SaleElSol
153,"It was easy for this young woman to throw her friend into the water to take away her fear, but today she faces justice for the damage she caused"
154,They don't know the athlete who just let go
155,"Little Angel Moshe, 7 years old, was crowned in China world champion of mental calculation"
156,Visiting the El Chaparro Schwarzenegger Debate
157,"# LoMásVisto #EXCLUSIVE This was the moment when Veronica fled from her boyfriend who tried to kill her, after the relationship ended. This the young woman told us:"
158,Think twice
159,"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart."
160,"Today turns 56 a metal legend, James Hetfield; Metallica vocalist and guitarist"
161,"OMG !! Snoopy, is that you?"
162,"MEXICAN PRIDE! With the “Poliplástik” project, two young men from Hidalgo put up the name of our country at the 2019 International Science and Engineering Fair in Arizona."
163,"We will have a fifth delivery, better lock you up at home in case of Purge."
164,They say they are the most abruptly repressed identity ...
165,"See you soon, Edith González"
166,"Congratulations! Mexican boy wins a silver medal at the Mathematics Olympiad and celebrates it with laughter, flowers and cake."
167,"A few days ago this Arab philanthropist businessman built a house for the boy who studied under public lighting because he had no light in his house. Now, he is in Mexico City to support small Mexicans from an orphanage."
168,#MilenioAlMomento | No ruler on Earth has been able to solve problems of any nature and much less of this gravity with antics. The opinion of Diego Fernández de Cevallos
169,"37 years after his death, we celebrated Juan OGorman, one of the creative geniuses who changed art, design and architecture in Mexico in the twentieth century:"
170,"The assault attempt took place in the Glorieta de Bosques, in the west of the capital of the country."
171,In the last hours only China and India have registered worse air quality than Mexico
172,"A falling Dimas, a past Christ of cups, a demonic possession ... so were the follies of Holy Week in Mexico."
173,"A video captured by a drone, allows us to see the abandonment of the city. More videos:"
174,Of those truths that hurt.
175,Another reason to quit? Only one cigarette butt can contaminate up to 50 liters of water
176,The criminal threatened his bakery with his gun.
177,The story with #AzucenaXMILENIO
178,Huachicoleros run out of fuel; They say it's not business anymore. ” Now they look for LP # ExpresoDeLaMañana gas
179,"This is not a drill, Batman will shine!"
180,# Find out how they stole fuel from the clandestine outlet in Tlahuelilpan Hidalgo
181,Diego Fernández de Cevallos The #JefeDiego with #AzucenaxMILENIO tells us about the President and why he decided to baptize him as GodManuel
182,"By official provision it will be mandatory for companies, regardless of their size, to protect the mental health of workers."
183,The series will be based on the novel by Gabriel García Márquez
184,"It is a very old technique, very thin fibers are collected in bundles and this is how handicrafts are made with popotillo"
185,This is how the Angel of Independence looks after the march against gender violence.
186,There is still hope in humanity
187,#SLP | They will be fined up to 33 thousand pesos to those who abandon their pet. It is part of the new sanctions approved in the Animal Protection Law. Find out:
188,UNAM does it again!
189,"Have you been told that feminists before were serious, orderly and caused no fuss? The feminists of before also made pints, also burned things, were also arrested. The feminists of before were like those of now. # 8M # 8demarzo2019 #DiaDeLaMujer # 8M2019"
190,After 30 years they discover that a judge had exercised with false ID cards. The BUAP confirmed that they have no qualification records under their name.
191,# How is it done? with Alicia Gutiérrez. From the sacred tree of the Maya the raw material is obtained to give life to true works of art.
192,"Sit down, ma'am! Xóchitl Gálvez showed a kit that (according to her) could have prevented the inhabitants of Tlahuelilpan, Hidalgo, from approaching the pipeline that exploded last Friday ..."
193,Members of the Eighth Military Region based in Oaxaca joined one of the most beautiful celebrations in Mexico: the Guelaguetza. Wake up with Loret
194,#Nationals | Lobo escapes from the zoo and they find him hours later playing with some dogs. Click here:
195,"From 2014 to May 2019, 2,893 women were reported missing in Puebla"
196,Hold on; the cold is gone but the heat will be unbeatable
197,A crack!
198,It's for your sake
199,Actress Yalitza Aparicio took her mom to the #Oscars awards and so they walked through the #RedCarpet
