,title,title_detail,links,link,summary,summary_detail,id,guidislink,published,published_parsed,authors,author,author_detail
0,"Reunión con diputados: Mauricio Macri pidió priorizar la gestión, pero dejó un fuerte mensaje de campaña","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Reunión con diputados: Mauricio Macri pidió priorizar la gestión, pero dejó un fuerte mensaje de campaña'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/politica/reunion-diputados-mauricio-macri-pidio-priorizar-gestion-dejo-fuerte-mensaje-campana_0_Bca2XDneL.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/JpoZLA5c0_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/politica/reunion-diputados-mauricio-macri-pidio-priorizar-gestion-dejo-fuerte-mensaje-campana_0_Bca2XDneL.html,"""Tenemos que transmitir tranquilidad a la gente, garantizar la estabilidad de la economía y despejar dudas (en relación a los ahorristas), dijo Macri frente a su tropa.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': '""Tenemos que transmitir tranquilidad a la gente, garantizar la estabilidad de la economía y despejar dudas (en relación a los ahorristas), dijo Macri frente a su tropa.'}",http://www.clarin.com/politica/reunion-diputados-mauricio-macri-pidio-priorizar-gestion-dejo-fuerte-mensaje-campana_0_Bca2XDneL.html,False,"Wed, 04 Sep 2019 14:24:30 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=24, tm_sec=30, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
1,"Creyeron que era un ladrón, lo persiguieron entre ocho y lo mataron de un tiro","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Creyeron que era un ladrón, lo persiguieron entre ocho y lo mataron de un tiro'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/policiales/creyeron-ladron-persiguieron-mataron-tiro_0_2nGuM34Tz.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/CPgPC3FYa_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/policiales/creyeron-ladron-persiguieron-mataron-tiro_0_2nGuM34Tz.html,"Uno de los atacantes creyó que había entrado a robar a su casa. La víctima, de 32 años, no tenía antecedentes.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Uno de los atacantes creyó que había entrado a robar a su casa. La víctima, de 32 años, no tenía antecedentes.'}",http://www.clarin.com/policiales/creyeron-ladron-persiguieron-mataron-tiro_0_2nGuM34Tz.html,False,"Wed, 04 Sep 2019 14:21:55 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=21, tm_sec=55, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
2,"Cristiano Rattazzi y una queja que se repite entre empresarios: ""Con esta inflación, no podemos hacer ninguna cuenta""","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Cristiano Rattazzi y una queja que se repite entre empresarios: ""Con esta inflación, no podemos hacer ninguna cuenta""'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/economia/economia/cristiano-rattazzi-queja-repite-empresarios-inflacion-podemos-hacer-cuenta-_0_XpPsF9C9N.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/d3De-1o25_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/economia/economia/cristiano-rattazzi-queja-repite-empresarios-inflacion-podemos-hacer-cuenta-_0_XpPsF9C9N.html,"El número uno de Fiat, Costantini, Perez Companc y Macciavello hablaron de impuestos, competitividad, exportaciones y empleo.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El número uno de Fiat, Costantini, Perez Companc y Macciavello hablaron de impuestos, competitividad, exportaciones y empleo.'}",http://www.clarin.com/economia/economia/cristiano-rattazzi-queja-repite-empresarios-inflacion-podemos-hacer-cuenta-_0_XpPsF9C9N.html,False,"Wed, 04 Sep 2019 14:21:32 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=21, tm_sec=32, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
3,"Mientras sigue el ""éxodo"" de las prepagas, hay polémica sobre cómo se calculan los aumentos","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Mientras sigue el ""éxodo"" de las prepagas, hay polémica sobre cómo se calculan los aumentos'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/sociedad/sigue-exodo-prepagas-polemica-calculan-aumentos_0_-Ev6aTdab.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/03/9Fdv_6Sb-_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/sociedad/sigue-exodo-prepagas-polemica-calculan-aumentos_0_-Ev6aTdab.html,Fuentes del sector estiman una baja de afiliados de entre el 10% y el 20% en 3 años. Desde el Estado admiten defectos en la forma de evaluar las subas. Y desde las empresas dicen que las cuotas deberían ser aún más caras.,"{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Fuentes del sector estiman una baja de afiliados de entre el 10% y el 20% en 3 años. Desde el Estado admiten defectos en la forma de evaluar las subas. Y desde las empresas dicen que las cuotas deberían ser aún más caras.'}",http://www.clarin.com/sociedad/sigue-exodo-prepagas-polemica-calculan-aumentos_0_-Ev6aTdab.html,False,"Wed, 04 Sep 2019 14:16:02 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=16, tm_sec=2, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
4,"Irreversible: la película que vuelve a escandalizar, pero en una nueva versión","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Irreversible: la película que vuelve a escandalizar, pero en una nueva versión'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/espectaculos/cine/irreversible-pelicula-vuelve-escandalizar-nueva-version_0_ahJT-Nb4s.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/sJ5T4anMO_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/espectaculos/cine/irreversible-pelicula-vuelve-escandalizar-nueva-version_0_ahJT-Nb4s.html,"El filme del argentino Gaspar Noé, con Mónica Bellucci y Vincent Cassel, despertó polémicas por la violencia sexual, como hace casi dos décadas. Aunque ahora su narración es al revés que la original.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El filme del argentino Gaspar Noé, con Mónica Bellucci y Vincent Cassel, despertó polémicas por la violencia sexual, como hace casi dos décadas. Aunque ahora su narración es al revés que la original.'}",http://www.clarin.com/espectaculos/cine/irreversible-pelicula-vuelve-escandalizar-nueva-version_0_ahJT-Nb4s.html,False,"Wed, 04 Sep 2019 14:11:57 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=11, tm_sec=57, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
5,Se conocieron escalofriantes detalles sobre el quíntuple asesinato cometido por un chico de 14 años,"{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Se conocieron escalofriantes detalles sobre el quíntuple asesinato cometido por un chico de 14 años'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/sociedad/conocieron-escalofriantes-detalles-quintuple-asesinato-cometido-chico-14-anos_0_cKaRT0kA6.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/-whziCh3v_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/sociedad/conocieron-escalofriantes-detalles-quintuple-asesinato-cometido-chico-14-anos_0_cKaRT0kA6.html,"El adolescente mató a balazos a su padre, a su madrastra y a sus tres hermanastros. Fue en un pueblo de apenas 500 habitantes.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El adolescente mató a balazos a su padre, a su madrastra y a sus tres hermanastros. Fue en un pueblo de apenas 500 habitantes.'}",http://www.clarin.com/sociedad/conocieron-escalofriantes-detalles-quintuple-asesinato-cometido-chico-14-anos_0_cKaRT0kA6.html,False,"Wed, 04 Sep 2019 14:09:44 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=9, tm_sec=44, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
6,Franco Cervi no llegará a Boca: Benfica lo anotó para jugar la Champions League,"{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Franco Cervi no llegará a Boca: Benfica lo anotó para jugar la Champions League'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/deportes/cervi-no-jugara-en-boca-inscripto-champions-league-benfica_0_f-Kkz2eIq.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/FNUb6K68xu_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/deportes/cervi-no-jugara-en-boca-inscripto-champions-league-benfica_0_f-Kkz2eIq.html,"El zurdo, vinculado en las últimas horas con el Xeneize, fue inscripto por el el club luso para la próxima edición de la Orejona. Final de la novela.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El zurdo, vinculado en las últimas horas con el Xeneize, fue inscripto por el el club luso para la próxima edición de la Orejona. Final de la novela.'}",http://www.clarin.com/deportes/cervi-no-jugara-en-boca-inscripto-champions-league-benfica_0_f-Kkz2eIq.html,False,"Wed, 04 Sep 2019 14:02:59 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=2, tm_sec=59, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
7,El Parlamento británico da un primer paso para bloquear un Brexit sin acuerdo,"{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El Parlamento británico da un primer paso para bloquear un Brexit sin acuerdo'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/mundo/parlamento-britanico-da-primer-paso-bloquear-brexit-acuerdo_0_lboaFxAe1.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/OBDSEKPBl_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/mundo/parlamento-britanico-da-primer-paso-bloquear-brexit-acuerdo_0_lboaFxAe1.html,"Con 329 votos a favor y 300 en contra, la Cámara de los Comunes dio un primer sí a una ley que obliga a Boris Johnson a pedir a la Unión Europea una prórroga del divorcio si no se llega a un acuerdo antes del 19 de octubre.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Con 329 votos a favor y 300 en contra, la Cámara de los Comunes dio un primer sí a una ley que obliga a Boris Johnson a pedir a la Unión Europea una prórroga del divorcio si no se llega a un acuerdo antes del 19 de octubre.'}",http://www.clarin.com/mundo/parlamento-britanico-da-primer-paso-bloquear-brexit-acuerdo_0_lboaFxAe1.html,False,"Wed, 04 Sep 2019 14:01:16 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=17, tm_min=1, tm_sec=16, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
8,"El Papa Francisco ya está en Mozambique: en el avión habló sobre el ""complot"" contra su pontificado","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'El Papa Francisco ya está en Mozambique: en el avión habló sobre el ""complot"" contra su pontificado'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/mundo/papa-francisco-mozambique-avion-hablo-complot-pontificado_0_zJNBHwqCy.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/u5K2nU5mS_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/mundo/papa-francisco-mozambique-avion-hablo-complot-pontificado_0_zJNBHwqCy.html,"Se refirió a un libro que trata sobre los planes en EE.UU. para anular su papado. ""Es una bomba"", dijo.","{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Se refirió a un libro que trata sobre los planes en EE.UU. para anular su papado. ""Es una bomba"", dijo.'}",http://www.clarin.com/mundo/papa-francisco-mozambique-avion-hablo-complot-pontificado_0_zJNBHwqCy.html,False,"Wed, 04 Sep 2019 13:59:53 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=16, tm_min=59, tm_sec=53, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
9,"""Las granjas son campos de concentración"": escándalo entre la mujer vegana defensora de gallinas y un productor avícola","{'type': 'text/plain', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': '""Las granjas son campos de concentración"": escándalo entre la mujer vegana defensora de gallinas y un productor avícola'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.clarin.com/viste/-granjas-campos-concentracion-escandalo-mujer-vegana-defensora-gallinas-productor-avicola_0_Dszu3kZRE.html'}, {'length': '0', 'type': 'image/jpg', 'href': 'https://images.clarin.com/2019/09/04/kMOga9Km-_600x338__1.jpg', 'rel': 'enclosure'}]",http://www.clarin.com/viste/-granjas-campos-concentracion-escandalo-mujer-vegana-defensora-gallinas-productor-avicola_0_Dszu3kZRE.html,Un nuevo round se produjo en televisión sobre la polémica por el santuario animal.,"{'type': 'text/html', 'language': None, 'base': 'https://www.clarin.com/rss/lo-ultimo/', 'value': 'Un nuevo round se produjo en televisión sobre la polémica por el santuario animal.'}",http://www.clarin.com/viste/-granjas-campos-concentracion-escandalo-mujer-vegana-defensora-gallinas-productor-avicola_0_Dszu3kZRE.html,False,"Wed, 04 Sep 2019 13:50:50 -0300","time.struct_time(tm_year=2019, tm_mon=9, tm_mday=4, tm_hour=16, tm_min=50, tm_sec=50, tm_wday=2, tm_yday=247, tm_isdst=0)",[{'name': 'Clarin.com'}],Clarin.com,{'name': 'Clarin.com'}
